20.174.15.226:443#AE [140ms]
147.78.0.186:8443#AE [172ms]
147.78.0.186:2053#AE [172ms]
45.86.228.104:443#AE [187ms]
176.97.78.80:8443#AE [266ms]
176.97.66.175:443#AE [266ms]
90.156.220.194:2053#AE [359ms]
31.130.149.210:443#AE [1281ms]
85.155.228.195:443#AL [343ms]
185.75.243.102:443#AL [359ms]
193.108.112.65:443#AL [1360ms]
213.159.76.175:443#AM [281ms]
185.234.57.134:443#AM [296ms]
91.132.132.243:8443#AM [297ms]
185.234.57.153:443#AM [312ms]
2.56.204.246:443#AM [328ms]
2.56.206.114:8443#AM [328ms]
2.56.206.64:443#AM [328ms]
2.56.204.183:443#AM [344ms]
149.33.19.136:2053#AR [1390ms]
141.227.165.196:443#AT [234ms]
152.53.19.75:443#AT [234ms]
152.53.44.234:2053#AT [234ms]
185.119.117.146:8443#AT [250ms]
92.112.48.142:8443#AT [250ms]
132.243.203.120:8443#AT [265ms]
132.243.203.193:8443#AT [281ms]
132.243.203.234:8443#AT [281ms]
193.177.221.29:443#AU [156ms]
125.7.24.251:443#AU [219ms]
51.161.196.38:443#AU [281ms]
170.64.170.226:443#AU [313ms]
209.38.23.235:443#AU [313ms]
209.38.82.114:443#AU [313ms]
192.9.162.124:8443#AU [328ms]
192.9.175.224:443#AU [328ms]
180.149.44.124:8443#AZ [344ms]
38.180.18.43:8443#BE [250ms]
194.71.227.213:443#BE [265ms]
192.71.249.78:443#BE [266ms]
141.98.233.190:8443#BE [266ms]
194.87.240.67:443#BE [266ms]
35.241.172.224:443#BE [281ms]
188.190.26.243:443#BE [282ms]
95.139.91.132:443#BE [297ms]
185.177.59.153:2053#BG [265ms]
185.206.146.190:8443#BG [281ms]
146.19.80.84:8443#BG [281ms]
185.203.119.221:2053#BG [281ms]
2.59.218.141:8443#BG [296ms]
185.141.61.113:443#BG [297ms]
185.203.116.174:443#BG [297ms]
185.203.119.101:443#BG [297ms]
152.67.41.217:443#BR [360ms]
146.235.59.153:2053#BR [375ms]
146.235.59.153:8443#BR [375ms]
132.226.163.224:2053#BR [375ms]
132.226.163.224:8443#BR [390ms]
216.238.116.196:8443#BR [390ms]
185.66.71.149:2053#BY [266ms]
185.179.82.201:443#BY [312ms]
93.85.88.60:8443#BY [328ms]
93.85.88.60:2053#BY [344ms]
80.71.159.199:8443#BY [344ms]
23.173.104.223:2053#CA [218ms]
23.173.104.216:2053#CA [218ms]
23.173.104.235:2053#CA [218ms]
150.242.90.205:443#CA [219ms]
23.173.104.199:2053#CA [219ms]
23.173.104.207:2053#CA [219ms]
167.160.190.137:443#CA [234ms]
23.173.104.214:2053#CA [234ms]
141.227.139.175:443#CH [234ms]
94.131.3.152:443#CH [234ms]
141.227.139.220:443#CH [234ms]
146.70.233.25:443#CH [234ms]
83.228.193.108:443#CH [235ms]
194.87.18.92:443#CH [235ms]
45.90.59.186:443#CH [235ms]
179.43.176.195:443#CH [235ms]
5.180.29.91:443#CL [375ms]
64.176.4.154:8443#CL [406ms]
64.176.15.110:2053#CL [422ms]
64.176.9.170:8443#CL [422ms]
64.176.11.9:8443#CL [438ms]
64.176.10.195:443#CL [1438ms]
193.24.232.154:2053#CY [313ms]
2.56.176.32:443#CZ [203ms]
2.56.176.32:8443#CZ [219ms]
141.227.135.228:443#CZ [234ms]
89.221.219.195:8443#CZ [234ms]
89.221.219.195:443#CZ [234ms]
150.241.121.190:443#CZ [234ms]
38.180.48.182:8443#CZ [250ms]
85.137.166.231:443#CZ [265ms]
31.25.88.206:443#DE [203ms]
185.233.80.164:443#DE [203ms]
152.53.228.252:443#DE [203ms]
172.238.97.26:8443#DE [203ms]
152.53.118.28:8443#DE [203ms]
188.95.70.31:8443#DE [203ms]
91.107.152.178:443#DE [203ms]
152.53.137.145:443#DE [203ms]
38.180.72.162:8443#DK [219ms]
45.148.31.73:443#DK [219ms]
193.180.213.29:443#DK [219ms]
80.78.25.208:443#DK [219ms]
193.181.211.52:2053#DK [235ms]
193.180.213.29:8443#DK [235ms]
92.113.149.160:443#DK [235ms]
193.180.212.103:443#DK [235ms]
185.36.141.193:443#EE [235ms]
185.36.142.88:443#EE [235ms]
185.36.141.19:443#EE [235ms]
93.123.39.161:443#EE [250ms]
188.214.37.48:443#EE [250ms]
159.253.18.70:443#EE [250ms]
159.253.22.166:443#EE [250ms]
185.36.140.114:8443#EE [250ms]
79.117.46.26:8443#ES [250ms]
217.72.207.16:8443#ES [265ms]
212.227.144.37:8443#ES [266ms]
212.227.90.142:443#ES [266ms]
92.178.109.187:443#ES [281ms]
31.57.190.88:443#ES [282ms]
31.57.190.84:443#ES [282ms]
31.57.190.15:443#ES [282ms]
204.168.156.35:443#FI [219ms]
204.168.157.234:443#FI [219ms]
204.168.205.133:8443#FI [219ms]
65.21.157.136:443#FI [219ms]
5.61.89.87:443#FI [219ms]
65.109.196.96:8443#FI [219ms]
204.168.144.158:443#FI [234ms]
157.180.66.240:443#FI [234ms]
152.228.134.90:8443#FR [218ms]
152.228.135.195:8443#FR [218ms]
194.76.37.86:443#FR [218ms]
92.205.17.56:443#FR [218ms]
152.228.134.239:8443#FR [219ms]
152.228.134.134:8443#FR [219ms]
152.228.134.213:2053#FR [219ms]
217.60.39.240:2053#FR [219ms]
185.212.62.204:443#GB [高速203ms]
185.217.110.23:443#GB [高速203ms]
57.129.137.52:8443#GB [218ms]
193.219.99.166:8443#GB [218ms]
57.128.178.232:443#GB [218ms]
193.219.99.197:8443#GB [218ms]
193.219.99.239:8443#GB [218ms]
57.129.137.82:443#GB [218ms]
206.53.48.65:443#GE [1359ms]
38.54.29.210:2053#GR [328ms]
206.237.17.52:443#HK [31ms]
47.239.4.246:8443#HK [高速47ms]
47.239.4.246:443#HK [高速47ms]
47.239.4.246:2053#HK [47ms]
47.76.218.163:443#HK [47ms]
103.192.179.132:443#HK [47ms]
47.83.14.42:8443#HK [62ms]
23.141.52.169:443#HK [63ms]
91.219.237.49:443#HU [234ms]
38.180.109.174:443#HU [250ms]
91.219.236.202:8443#HU [250ms]
5.182.38.111:443#HU [250ms]
38.180.225.166:443#HU [250ms]
77.91.72.13:443#HU [250ms]
91.219.236.202:2053#HU [265ms]
185.65.68.238:443#HU [266ms]
43.218.77.16:443#ID [281ms]
156.244.1.250:8443#ID [296ms]
147.139.189.225:443#ID [390ms]
202.155.18.38:8443#ID [391ms]
34.250.168.254:443#IE [235ms]
3.250.142.12:443#IE [250ms]
85.159.229.122:443#IE [250ms]
54.229.164.147:2053#IE [265ms]
52.19.138.237:2053#IE [265ms]
20.67.254.104:443#IE [266ms]
3.252.156.154:443#IE [266ms]
194.87.245.135:2053#IE [297ms]
91.225.218.230:443#IL [282ms]
80.178.58.56:443#IL [297ms]
45.150.108.59:443#IL [297ms]
64.176.167.56:8443#IL [1328ms]
4.240.110.47:443#IN [156ms]
20.235.220.189:443#IN [172ms]
65.20.85.14:443#IN [250ms]
45.89.105.211:443#IN [297ms]
103.181.177.88:443#IN [328ms]
195.35.21.37:443#IN [360ms]
143.110.247.61:2096#IN [422ms]
143.110.247.61:8443#IN [437ms]
151.236.24.54:443#IS [250ms]
185.247.226.138:443#IS [313ms]
89.147.109.212:443#IS [328ms]
89.147.111.223:2053#IS [344ms]
45.83.21.111:8443#IS [1297ms]
195.246.230.125:443#IS [1329ms]
194.165.59.20:443#IT [281ms]
185.47.172.172:8443#IT [281ms]
113.30.151.151:2053#IT [297ms]
113.30.151.151:8443#IT [297ms]
172.238.238.203:2053#IT [312ms]
80.211.48.113:443#IT [312ms]
194.87.47.205:443#IT [328ms]
45.92.70.176:8443#IT [328ms]
154.31.117.200:443#JP [高速78ms]
166.88.97.209:443#JP [79ms]
147.79.20.149:8443#JP [94ms]
126.220.82.161:443#JP [94ms]
154.19.187.181:8443#JP [109ms]
154.19.187.181:443#JP [109ms]
216.23.86.110:8443#JP [109ms]
115.163.106.137:443#JP [109ms]
144.24.73.232:443#KR [62ms]
158.247.199.106:443#KR [187ms]
43.200.87.5:443#KR [187ms]
64.176.226.26:8443#KR [234ms]
45.196.233.37:443#KR [281ms]
193.123.232.91:443#KR [312ms]
146.56.188.74:443#KR [328ms]
64.110.71.6:443#KR [328ms]
185.22.67.12:443#KZ [281ms]
185.253.8.64:2053#KZ [297ms]
185.253.8.65:2053#KZ [297ms]
195.58.52.52:8443#KZ [312ms]
83.222.22.61:8443#KZ [313ms]
213.155.22.139:443#KZ [313ms]
194.32.141.156:443#KZ [328ms]
109.248.170.245:443#KZ [328ms]
94.131.13.110:443#LT [250ms]
94.176.235.22:443#LT [265ms]
80.208.227.162:443#LT [265ms]
